  121  100    1    4    2    2
  1    3
  1.0  0.30
    1      .000     1.000      .000
    2      .100     1.000      .000
    3      .200     1.000      .000
    4      .300     1.000      .000
    5      .400     1.000      .000
    6      .500     1.000      .000
    7      .600     1.000      .000
    8      .700     1.000      .000
    9      .800     1.000      .000
   10      .900     1.000      .000
   11     1.000     1.000      .000
   12      .000      .900      .000
   13      .100      .900      .000
   14      .200      .900      .000
   15      .300      .900      .000
   16      .400      .900      .000
   17      .500      .900      .000
   18      .600      .900      .000
   19      .700      .900      .000
   20      .800      .900      .000
   21      .900      .900      .000
   22     1.000      .900      .000
   23      .000      .800      .000
   24      .100      .800      .000
   25      .200      .800      .000
   26      .300      .800      .000
   27      .400      .800      .000
   28      .500      .800      .000
   29      .600      .800      .000
   30      .700      .800      .000
   31      .800      .800      .000
   32      .900      .800      .000
   33     1.000      .800      .000
   34      .000      .700      .000
   35      .100      .700      .000
   36      .200      .700      .000
   37      .300      .700      .000
   38      .400      .700      .000
   39      .500      .700      .000
   40      .600      .700      .000
   41      .700      .700      .000
   42      .800      .700      .000
   43      .900      .700      .000
   44     1.000      .700      .000
   45      .000      .600      .000
   46      .100      .600      .000
   47      .200      .600      .000
   48      .300      .600      .000
   49      .400      .600      .000
   50      .500      .600      .000
   51      .600      .600      .000
   52      .700      .600      .000
   53      .800      .600      .000
   54      .900      .600      .000
   55     1.000      .600      .000
   56      .000      .500      .000
   57      .100      .500      .000
   58      .200      .500      .000
   59      .300      .500      .000
   60      .400      .500      .000
   61      .500      .500      .000
   62      .600      .500      .000
   63      .700      .500      .000
   64      .800      .500      .000
   65      .900      .500      .000
   66     1.000      .500      .000
   67      .000      .400      .000
   68      .100      .400      .000
   69      .200      .400      .000
   70      .300      .400      .000
   71      .400      .400      .000
   72      .500      .400      .000
   73      .600      .400      .000
   74      .700      .400      .000
   75      .800      .400      .000
   76      .900      .400      .000
   77     1.000      .400      .000
   78      .000      .300      .000
   79      .100      .300      .000
   80      .200      .300      .000
   81      .300      .300      .000
   82      .400      .300      .000
   83      .500      .300      .000
   84      .600      .300      .000
   85      .700      .300      .000
   86      .800      .300      .000
   87      .900      .300      .000
   88     1.000      .300      .000
   89      .000      .200      .000
   90      .100      .200      .000
   91      .200      .200      .000
   92      .300      .200      .000
   93      .400      .200      .000
   94      .500      .200      .000
   95      .600      .200      .000
   96      .700      .200      .000
   97      .800      .200      .000
   98      .900      .200      .000
   99     1.000      .200      .000
  100      .000      .100      .000
